# proper	bayer	flam	hr	hd	hip	con	ra_rad	dec_rad	mag	dist_pc
	Chi	89	45	1013	1168	Peg	0.0637162	0.3526735	4.790	112.867
	Lam	9	569	11973	9153	Ari	0.5145610	0.4118290	4.790	39.495
	Eta		4993	114911	64661	Mus	3.4699310	-1.1849841	4.790	117.371
	Kap	11	5901	142091	77655	CrB	4.1505335	0.6223387	4.790	30.497
	Mu-1		8486	211088	109908	Gru	5.8277207	-0.7216361	4.790	84.246
	Xi	19	179	3901	3300	Cas	0.1835426	0.8816099	4.800	438.596
Zibal	Zet	13	984	20320	15197	Eri	0.8544859	-0.1539333	4.800	33.647
	Del-2	64	1380	27819	20542	Tau	1.1523360	0.3044575	4.800	49.480
	Psi	65	1617	32249	23364	Eri	1.3152761	-0.1252093	4.800	226.757
	Psi-2	50	2427	47174	31832	Aur	1.7424077	0.7415708	4.800	127.551
	Sig-2	13	3616	78154	45038	UMa	2.4015391	1.1717097	4.800	20.379
Phyllon Kissinou		23	4789	109485	61394	Com	3.2936606	0.3949551	4.800	95.057
	Ome	41	5600	133124	73568	Boo	3.9361908	0.4364744	4.800	113.895
	The-1		8151	203006	105382	Mic	5.5883718	-0.7122595	4.800	60.459
	Pi	52	8539	212571	110672	Aqr	5.8698785	0.0240402	4.800	239.808
	Omi	43	8641	214994	112051	Peg	5.9417850	0.5115148	4.800	91.575
Alula Australis B	Xi	53	4374	98230		UMa	2.9591494	0.5502811	4.800	10.417
	The		1744	34649	24372	Dor	1.3690244	-1.1726039	4.810	150.602
	Omi		1743	34642	24659	Col	1.3852880	-0.6090363	4.810	32.447
	Eps	14	4402	99167	55687	Crt	2.9871740	-0.1895309	4.810	115.340
Elgafar	Phi	105	5409	126868	70755	Vir	3.7882472	-0.0388852	4.810	36.258
	Mu	11	1689	33641	24340	Aur	1.3675906	0.6716812	4.820	46.904
	Pi	44	5972	143894	78554	Ser	4.1988034	0.3980128	4.820	54.885
	Sig	50	6093	147449	80179	Ser	4.2850996	0.0179601	4.820	27.270
Fafnir		42	6945	170693	90344	Dra	4.8257663	1.1442986	4.820	96.525
	Ups	52	7180	176524	92782	Dra	4.9497388	1.2443707	4.820	105.485
	Eta	22	8060	200499	104019	Cap	5.5170077	-0.3465350	4.820	49.505
	Sig	57	8573	213320	111123	Aqr	5.8933090	-0.1863654	4.820	88.810
	Ups-1	26	253	5234	4292	Cas	0.2399954	1.0292677	4.830	100.705
	Ome	48	417	8799	6813	And	0.3824666	0.7924962	4.830	28.620
	Eps	83	781	16620	12390	Cet	0.6962287	-0.2072082	4.830	21.482
	Zet		837	17566	12876	Hyi	0.7223170	-1.1801326	4.830	87.184
	Xi-1		4933	113314	63724	Cen	3.4189052	-0.8644138	4.830	67.613
Quadrans		44	5618	133640	73695	Boo	3.9435298	0.8317202	4.830	12.508
	Eta		7149	175751	93026	Sct	4.9613652	-0.1020374	4.830	62.035
	Eps		7152	175813	93174	CrA	4.9686176	-0.6476456	4.830	30.184
	Mu	98	434	9138	7007	Psc	0.3935073	0.1072299	4.840	93.197
Deltoton	Del	8	660	13974	10644	Tri	0.5979999	0.5973255	4.840	10.784
	Kap-1	96	996	20630	15457	Cet	0.8698791	0.0588210	4.840	9.140
	Xi	2	4515	102124	57328	Vir	3.0773820	0.1441314	4.840	37.411
	Rho		8644	215104	112203	Gru	5.9493892	-0.7228167	4.840	70.621
	Eta		8655	215369	112374	Gru	5.9586900	-0.9337533	4.840	127.227
Graffias	Xi		5978	144070		Sco	4.2078424	-0.1985244	4.840	24.331
	Eps		5666	135291	74837	Cir	4.0039954	-1.1102121	4.850	125.000
	Lam		7134	175510	93148	Tel	4.9674806	-0.9239534	4.850	187.617
	Eta		105	2429	2210	Scl	0.1218604	-0.5760837	4.860	138.504
	Zet		3433	73898	42483	Pyx	2.2676536	-0.5159382	4.860	74.906
	Xi	19	6103	147677	80181	CrB	4.2852075	0.5391670	4.860	56.243
	Mu		6155	149038	81122	Nor	4.3375083	-0.7687358	4.860	0.000
	Nu-2	25	6555	159560	85829	Dra	4.5913768	0.9629498	4.860	30.488
Ainalrami	Nu-1	32	7116	174974	92761	Sgr	4.9487485	-0.3969722	4.860	344.828
	Psi	42	7292	179950	94643	Sgr	5.0419962	-0.4408123	4.860	91.491
	Rho		7859	195961	101773	Pav	5.3999959	-1.0738997	4.860	58.139
	Nu	22	8413	209747	109068	Peg	5.7843667	0.0882880	4.860	83.264
Adhil	Xi	46	390	8207	6411	And	0.3592769	0.7946271	4.870	65.746
	Nu	78	754	16161	12093	Cet	0.6801310	0.0976206	4.870	104.275
	Zet	58	972	20150	15110	Ari	0.8504188	0.3672948	4.870	80.386
	Del		3556	76483	43825	Pyx	2.3366733	-0.4831398	4.870	75.815
	Rho	72	708	15130	11345	Cet	0.6368274	-0.2145093	4.880	139.860
	Lam		2056	39764	27810	Col	1.5407535	-0.5899450	4.880	102.564
	Eps		4583	104174	58484	Cha	3.1399686	-1.3652286	4.880	110.865
	Rho	30	4828	110411	61960	Vir	3.3243472	0.1786454	4.880	36.271
	Eps		7032	173009	91845	Sct	4.9022846	-0.1444297	4.880	165.017
	Iot		7424	184127	96341	Tel	5.1278493	-0.8394894	4.880	113.636
	Tau	5	9008	223165	117301	Cas	6.2267110	1.0236703	4.880	53.333
	Sig	8	9071	224572	118243	Cas	6.2788609	0.9731071	4.880	0.000
	Psi-1	25	1789	35439	25302	Ori	1.4169766	0.0322265	4.890	318.471
Jishui	Omi	71	2930	61110	37265	Gem	2.0034878	0.6036107	4.890	50.994
	Eta		5303	123998	69896	Aps	3.7447464	-1.4138521	4.890	42.337
	Nu-1	24	6554	159541	85819	Dra	4.5909798	0.9631467	4.890	30.248
	Alp		7965	198232	102831	Mic	5.4540144	-0.5895674	4.890	116.009
	Nu	25	223	4636	3801	Cas	0.2130764	0.8895623	4.900	126.263
Acrab B	Bet-2	8	5985	144218	78821	Sco	4.2125380	-0.3456077	4.900	122.100
	Zet		6098	147584	80686	TrA	4.3129935	-1.2232035	4.900	12.117
	Zet		7952	198048	102790	Ind	5.4518960	-0.8068103	4.900	126.582
	Phi-3		4171	92214	52085	Hya	2.7863422	-0.2945517	4.910	64.558
	Del	19	5586	132742	73473	Lib	3.9312341	-0.1486836	4.910	90.009
	Mu	21	6369	154905	83608	Dra	4.4738711	0.9506816	4.910	27.435
	Psi	24	7619	189037	98055	Cyg	5.2169201	0.9152323	4.910	86.281
	Nu		8582	213442	111310	Tuc	5.9035788	-1.0817921	4.910	88.968
	Rho	50	8717	216735	113186	Peg	6.0005636	0.1538711	4.910	95.694
	Psi-1	46	2289	44537	30520	Aur	1.6794360	0.8602360	4.920	0.000
	Chi-1		4314	96202	54204	Hya	2.9030586	-0.4763634	4.920	43.234
	Eps	31	5723	137052	75379	Lib	4.0325752	-0.1801575	4.920	31.230
	Del-1		6934	170465	90830	Tel	4.8509560	-0.8013647	4.920	216.920
	Del		1302	26612	19515	Hor	1.0945068	-0.7329261	4.930	54.825
	Ome-2	50	1329	27045	19990	Tau	1.1225130	0.3591642	4.930	28.944
	Ome	4	1592	31647	23179	Aur	1.3057537	0.6613095	4.930	52.274
	Psi	15	6031	145570	79375	Sco	4.2411493	-0.1756544	4.930	47.710
	Kap	39	7446	184915	96483	Aql	5.1351549	-0.1226526	4.930	515.464
	Xi		7673	190421	99120	Tel	5.2682153	-0.9229439	4.930	331.126
	Chi	92	8850	219576	114939	Aqr	6.0949035	-0.1348529	4.930	187.970
	Chi		3149	66216	39424	Gem	2.1097455	0.4851026	4.940	78.555
Felis			3923	85951	48615	Hya	2.5956108	-0.3317759	4.940	188.324
	Psi	45	4958	114149	64166	Hya	3.4428998	-0.4034864	4.940	70.972
	Lam	15	7192	176670	93279	Lyr	4.9742484	0.5610451	4.940	338.983
	Rho	67	7724	192425	99742	Aql	5.2982828	0.2652483	4.940	45.977
	Ome-1	45	7844	195556	101138	Cyg	5.3671447	0.8543661	4.940	278.551
	Tau	15	8447	210302	109422	PsA	5.8038549	-0.5680769	4.940	18.278
	Pi	20	184	4058	3414	Cas	0.1896647	0.8207332	4.950	53.677
	Phi	34	382	7927	6242	Cas	0.3494234	1.0163333	4.950	0.000
	Tau	84	4418	99648	55945	Leo	3.0016929	0.0498512	4.950	172.414
	Kap		6024	145397	79509	Nor	4.2476028	-0.9534815	4.950	131.234
	Eta	21	6116	148048	79822	UMi	4.2651810	1.3221799	4.950	29.735
	Kap	8	8911	220825	115738	Psc	6.1389015	0.0219145	4.950	47.059
	Tau	53	477	10205	7818	And	0.4388640	0.7082031	4.960	218.341
	Ome		749	16046	11918	For	0.6712758	-0.4927473	4.960	148.368
	Xi	30	2029	39283	27949	Aur	1.5483095	0.9722696	4.960	73.046
	Nu		370	7570	5862	Phe	0.3280459	-0.7946775	4.970	15.115
	Ome	46	548	11529	9009	Cas	0.5061463	1.1987836	4.970	215.054
	Iot		1266	25728	18772	Ret	1.0528779	-1.0660265	4.970	97.847
	Phi	52	1348	27382	20250	Tau	1.1360070	0.4773607	4.970	98.425
	Xi		2087	40176	28010	Col	1.5511550	-0.6478779	4.970	102.041
	Phi	83	3067	64145	38538	Gem	2.0660202	0.4671510	4.970	68.213
	Gam-1		6058	146143	79790	Nor	4.2630346	-0.8738536	4.970	450.450
	Ome-1	102	8968	222345	116758	Aqr	6.1949783	-0.2482238	4.970	43.592
	Psi	20	9003	223047	117221	And	6.2222474	0.8101866	4.970	307.692
	Bet		909	18866	13884	Hor	0.7801461	-1.1182549	4.980	90.334
	The-1	41	1893	37020	26220	Ori	1.4628639	-0.0940264	4.980	0.000
	The-2	43	1897	37041	26235	Ori	1.4633786	-0.0945281	4.980	473.934
	Nu-2	53	5774	138629	76041	Boo	4.0656706	0.7138280	4.980	119.048
	Iot	14	5971	143807	78493	CrB	4.1950856	0.5209993	4.980	95.602
Alya B	The-2	63	7142	175639	92951	Ser	4.9578000	0.0733410	4.980	51.948
	Del		1134	23227	17304	For	0.9697414	-0.5574296	4.990	259.740
	Psi-7	58	2516	49520	32844	Aur	1.7923040	0.7292200	4.990	116.144
	Eps	2	2828	58367	36041	CMi	1.9445075	0.1618984	4.990	319.489
	Ome	18	3613	77996	44659	Hya	2.3822557	0.0888777	4.990	274.725
	Xi	5	3782	82395	46771	Leo	2.4955837	0.1972192	4.990	66.094
	Nu-1		5698	136351	75206	Lup	4.0235884	-0.8364978	4.990	35.855
	Eta	2	5727	137107	75312	CrB	4.0282417	0.5286220	4.990	17.863
	Ups		8433	210066	109289	PsA	5.7963789	-0.5941771	4.990	130.039
Tengshe			8726	216946	113288	Lac	6.0058233	0.8680141	4.990	490.196
	Psi-3	95	8865	219832	115115	Aqr	6.1041201	-0.1677392	4.990	80.192
Elkurud	The		2177	42167	29034	Col	1.6036400	-0.6501861	5.000	221.239
	Mu	18	2593	51250	33345	CMa	1.8156257	-0.2451041	5.000	381.679
	The	15	5826	139669	76008	UMi	4.0640738	1.3500009	5.000	262.467
Marsic	Kap	7	6008	145001	79043	Her	4.2240260	0.2975259	5.000	112.740
	Nu-2	35	7120	175190	92845	Sgr	4.9528907	-0.3956893	5.000	83.963
	Eta		9062	224392	118121	Tuc	6.2726419	-1.1222158	5.000	47.438
	Xi		5977	144069		Sco	4.2078424	-0.1985244	5.000	24.331
	Gam		7227	177475		CrA	5.0021608	-0.6469018	5.000	17.892
Chalawan		47	4277	95128	53721	UMa	2.8774684	0.7056411	5.030	14.063
Situla	Kap	63	8610	214376	111710	Aqr	5.9243297	-0.0737935	5.040	65.574
Pleione		28	1180	23862	17851	Tau	1.0000166	0.4212651	5.050	117.096
Guniibuu B		36	6402	155886		Oph	4.5175405	-0.4643137	5.070	5.985
Hoerikwaggo	Alp		2261	43834	29271	Men	1.6154676	-1.3046868	5.080	10.198
Cervantes	Mu		6585	160691	86796	Ara	4.6432091	-0.9046749	5.120	15.511
Albireo B	Bet-2	6	7418	183914	95951	Cyg	5.1083893	0.4880862	5.120	122.549
Nahn	Xi	77	3627	78515	44946	Cnc	2.3970304	0.3847656	5.160	114.416
Revati	Zet	86	361	7344	5737	Psc	0.3217140	0.1322149	5.210	53.305
Veritate		14	8930	221345	116076	And	6.1579118	0.6848008	5.220	79.177
Taiyi		8	4916	112429	63076	Dra	3.3836518	1.1421168	5.230	29.291
Intercrus			3743	81688	46471	UMa	2.4812758	0.7958960	5.400	85.837
La Superba			4846	110914	62223	CVn	3.3385114	0.7930821	5.420	320.513
Tianyi		7	4863	111335	62423	Dra	3.3491663	1.1657107	5.430	227.273
Celaeno		16	1140	23288	17489	Tau	0.9808906	0.4239312	5.450	115.607
Polaris Australis	Sig		7228	177482	104382	Oct	5.5360411	-1.5525838	5.450	86.133
Helvetios		51	8729	217014	113357	Peg	6.0103301	0.3624845	5.450	15.608
Tianfu	Tau	63	7669	190327	98823	Aql	5.2540457	0.1270245	5.510	141.643
Musica		18	8030	199665	103527	Del	5.4909465	0.1891812	5.510	75.301
Cor Caroli B	Alp-1	12	4914	112412	63121	CVn	3.3859740	0.6687214	5.610	36.900
Alrakis	Mu	21	6370	154906		Dra	4.4738148	0.9506650	5.630	23.256
96 G. Psc			222	4628	3765	Psc	0.2111103	0.0921641	5.740	7.455
Alruba			6618	161693	86782	Dra	4.6425155	0.9390171	5.750	163.399
p Eridani			486	10360	7751	Eri	0.4354167	-0.9808122	5.760	7.822
Asterope		21	1151	23432	17579	Tau	0.9857093	0.4285571	5.760	114.025
Merga		38	5533	130945	72487	Boo	3.8803521	0.8048796	5.760	48.996
Tonatiuh			4609	104985	58952	Cam	3.1644873	1.3422583	5.780	97.087
268 G. Cet			753	16160	12114	Cet	0.6810337	0.1201986	5.790	7.180
p Eridani			487	10361		Eri	0.4353730	-0.9807811	5.800	8.147
Dziban B	Psi-1	31	6637	162004	86620	Dra	4.6337080	1.2593757	5.810	23.063
Piautos	Lam	19	3268	70011	40881	Cnc	2.1839986	0.4192685	5.920	140.252
Copernicus	Rho-1	55	3522	75732	43587	Cnc	2.3238950	0.4944661	5.960	12.341
