# Bright NGC / IC deep-sky object catalog (V <= 11.5 mag, plus large
# diffuse nebulae lacking integrated photometry).
#
# Source: OpenNGC (https://github.com/mattiaverga/OpenNGC) main NGC.csv
# and addendum.csv. Filter rules (see scripts/extract-openngc-bright.py):
#   - exclude Messier objects (covered by messier.csv);
#   - exclude OpenNGC types {*, **, *Ass, NonEx, Other};
#   - keep min(V-Mag, B-Mag - 0.6) <= 11.5 mag when photometry present;
#   - keep emission/reflection/diffuse nebulae (EmN/RfN/Neb/HII/Cl+N/SNR)
#     with major-axis >= 30 arcmin even when integrated magnitude is missing
#     (sentinel mag = 99.00; renderer treats them as faint until the
#     density slider is opened).
#
# Columns: name, ra_hours (J2000), dec_deg (J2000), mag, type, size_arcmin.
# Position units mirror crates/catalog/data/messier.csv. The renderer build
# script compacts this CSV into the i16 binary `openngc_bright.bin`.
#
# Type codes (normalised from OpenNGC):
#   OC  open cluster        GC  globular cluster
#   G   galaxy              N   diffuse / emission / reflection nebula
#   PN  planetary nebula    SNR supernova remnant
#   Other  anything else
name,ra_hours,dec_deg,mag,type,size_arcmin
NGC6563,18.200694,-33.8683,11.00,PN,0.79
NGC6567,18.229222,-19.0758,11.00,PN,0.13
NGC6568,18.212292,-21.6280,8.60,OC,7.80
NGC6569,18.227408,-31.8277,9.47,GC,4.50
NGC6572,18.201725,6.8537,8.10,PN,0.18
NGC6583,18.263592,-22.1376,10.00,OC,3.60
NGC6584,18.310458,-52.2152,8.17,GC,5.10
NGC6589,18.282047,-19.7771,9.90,N,4.00
NGC6590,18.284719,-19.8661,9.20,N,4.00
NGC6603,18.307492,-18.4061,11.10,OC,4.20
NGC6604,18.300822,-12.2431,6.46,OC,9.60
NGC6605,18.272689,-15.0152,6.00,OC,6.30
NGC6625,18.379806,-11.9550,9.00,OC,6.00
NGC6629,18.428461,-23.2029,11.00,PN,0.26
NGC6633,18.454231,6.5082,4.41,OC,12.00
NGC6638,18.515625,-25.4964,9.68,GC,4.20
NGC6642,18.531728,-23.4761,10.24,GC,3.90
NGC6643,18.329558,74.5684,11.11,G,3.32
NGC6644,18.542981,-25.1294,10.70,PN,0.04
NGC6645,18.543861,-16.8839,8.50,OC,5.40
NGC6647,18.547039,-17.2287,8.00,OC,3.60
NGC6649,18.557767,-10.4028,8.90,OC,5.58
NGC6652,18.596042,-32.9903,9.75,GC,5.10
NGC6664,18.609264,-8.2208,7.80,OC,6.00
NGC6683,18.703881,-6.2123,9.33,OC,3.00
NGC6684,18.816078,-65.1734,10.50,G,4.19
NGC6703,18.788564,45.5506,11.38,G,2.43
NGC6704,18.846047,-5.2054,9.20,OC,3.30
NGC6709,18.855261,10.3187,6.58,OC,8.70
NGC6712,18.884692,-8.7055,8.69,GC,5.70
NGC6716,18.909547,-19.9011,7.10,OC,7.20
NGC6717,18.918344,-22.7016,10.35,GC,3.90
NGC6727,19.028408,-36.8762,99.00,N,80.00
NGC6741,19.043611,-0.4494,10.20,PN,0.13
NGC6743,19.022408,29.2775,7.60,OC,6.90
NGC6744,19.162806,-63.8575,8.54,G,15.67
NGC6752,19.181050,-59.9819,6.28,GC,13.20
NGC6753,19.189900,-57.0496,11.04,G,2.97
NGC6755,19.130292,4.2664,7.50,OC,6.00
NGC6756,19.145158,4.7058,10.60,OC,3.60
NGC6758,19.231206,-56.3099,11.39,G,2.75
NGC6760,19.186683,1.0305,9.78,GC,5.40
NGC6781,19.307850,6.5397,11.20,PN,1.80
NGC6790,19.382472,1.5133,9.60,PN,0.12
NGC6791,19.348117,37.7719,9.50,OC,6.30
NGC6802,19.509733,20.2610,8.80,OC,4.50
NGC6803,19.521236,10.0560,10.70,PN,0.09
NGC6810,19.726181,-58.6556,11.42,G,3.79
NGC6811,19.621642,46.3888,6.80,OC,7.20
NGC6814,19.711289,-10.3235,11.32,G,3.08
NGC6818,19.732703,-14.1532,9.30,PN,0.77
NGC6819,19.688358,40.1867,7.30,OC,6.90
NGC6822,19.749372,-14.8034,8.76,G,17.38
NGC6823,19.719414,23.2999,7.10,OC,6.00
NGC6826,19.746697,50.5250,9.42,PN,0.42
NGC6830,19.849883,23.1001,7.81,OC,4.20
NGC6834,19.870156,29.4082,7.80,OC,4.50
NGC6857,20.030036,33.5259,10.80,N,0.63
NGC6861,20.122078,-48.3702,11.04,G,3.18
NGC6866,20.065328,44.1591,7.44,OC,5.10
NGC6868,20.165019,-48.3796,10.59,G,3.58
NGC6871,20.099844,35.7773,4.83,OC,9.30
NGC6876,20.305319,-70.8588,10.83,G,3.46
NGC6883,20.188819,35.8322,8.00,OC,4.50
NGC6884,20.173250,46.4608,10.90,PN,0.10
NGC6886,20.211917,19.9897,11.40,PN,0.09
NGC6888,20.201819,38.3549,6.84,N,20.00
NGC6891,20.252456,12.7044,10.50,PN,0.25
NGC6902,20.407817,-43.6535,11.38,G,2.69
NGC6905,20.373053,20.1045,11.10,PN,0.67
NGC6907,20.418508,-24.8092,11.16,G,3.33
NGC6910,20.386681,40.7786,6.53,OC,6.30
NGC6925,20.572381,-31.9809,11.35,G,4.68
NGC6934,20.569858,7.4041,9.75,GC,5.40
NGC6939,20.525036,60.6621,7.80,OC,12.00
NGC6940,20.574081,28.2827,6.30,OC,10.80
NGC6943,20.742706,-68.7477,11.39,G,3.75
NGC6946,20.581200,60.1539,9.05,G,11.40
NGC6951,20.620581,66.1056,11.36,G,3.19
NGC6958,20.811831,-37.9974,11.40,G,2.44
NGC6960,20.766161,30.5951,6.40,SNR,210.00
NGC6992,20.938631,31.7428,6.40,SNR,60.00
NGC6995,20.952989,31.2352,6.40,SNR,12.00
NGC6997,20.944292,44.6315,10.00,OC,6.90
NGC7000,20.988094,44.5288,3.40,N,120.00
NGC7006,21.024792,16.1875,10.46,GC,4.20
NGC7008,21.009111,54.5432,10.70,PN,1.43
NGC7009,21.069664,-11.3632,7.70,PN,0.70
NGC7013,21.059328,29.8975,11.30,G,4.16
NGC7023,21.026561,68.1696,6.60,N,10.00
NGC7026,21.105133,47.8522,10.90,PN,0.33
NGC7027,21.117092,42.2365,8.50,PN,0.23
NGC7031,21.120153,50.8756,9.10,OC,3.90
NGC7039,21.179944,45.6218,7.46,OC,7.80
NGC7041,21.275661,-48.3636,11.30,G,3.46
NGC7048,21.237556,46.2886,10.70,PN,1.02
NGC7049,21.316750,-48.5622,10.55,G,3.94
NGC7062,21.390967,46.3785,8.30,OC,3.60
NGC7063,21.406028,36.4875,6.72,OC,6.30
NGC7067,21.406422,48.0093,9.70,OC,2.40
NGC7082,21.488261,47.1263,7.10,OC,9.00
NGC7083,21.595747,-63.9028,11.24,G,3.56
NGC7086,21.507653,51.6005,8.40,OC,4.80
NGC7090,21.608017,-54.5573,10.71,G,8.15
NGC7128,21.732725,53.7151,9.70,OC,3.00
NGC7129,21.716397,66.1130,10.90,OC,2.10
NGC7142,21.752642,65.7744,9.30,OC,9.60
NGC7144,21.878453,-48.2537,11.00,G,3.41
NGC7145,21.888956,-47.8824,11.12,G,2.95
NGC7160,21.894519,62.6033,5.74,OC,4.20
NGC7177,22.011456,17.7381,11.13,G,2.85
NGC7184,22.044394,-20.8128,11.00,G,5.98
NGC7192,22.113933,-64.3162,11.28,G,2.42
NGC7205,22.142858,-57.4426,10.96,G,3.70
NGC7209,22.085511,46.4835,7.64,OC,6.00
NGC7213,22.154531,-47.1666,10.39,G,4.84
NGC7217,22.131219,31.3593,10.43,G,4.52
NGC7226,22.174136,55.3986,9.51,OC,3.00
NGC7234,22.206950,57.2713,7.70,OC,2.40
NGC7243,22.252383,49.8975,5.94,OC,15.00
NGC7245,22.253197,54.3426,9.20,OC,3.90
NGC7261,22.335108,58.0518,8.40,OC,6.90
NGC7293,22.494047,-20.8373,6.90,PN,16.33
NGC7295,22.467456,52.2891,9.70,OC,2.70
NGC7314,22.596164,-26.0505,11.00,G,4.21
NGC7331,22.617781,34.4155,9.41,G,9.27
NGC7332,22.623483,23.7983,11.05,G,2.95
NGC7377,22.796528,-22.3121,11.19,G,3.92
NGC7380,22.789169,58.1324,7.02,OC,25.00
NGC7410,22.916931,-39.6613,10.64,G,6.01
NGC7412,22.929375,-42.6420,11.17,G,3.79
NGC7418,22.943378,-37.0301,11.04,G,3.66
NGC7424,22.955103,-41.0706,10.18,G,5.01
NGC7448,23.000997,15.9803,11.50,G,2.07
NGC7457,23.016647,30.1449,10.98,G,3.95
NGC7479,23.082403,12.3229,11.09,G,3.65
NGC7492,23.140744,-15.6115,10.48,GC,3.00
NGC7496,23.163136,-43.4279,11.29,G,3.40
NGC7507,23.202108,-28.5396,10.04,G,3.33
NGC7510,23.184383,60.5709,7.90,OC,3.90
NGC7531,23.246806,-43.5999,11.25,G,4.11
NGC7552,23.269656,-42.5847,10.59,G,3.88
NGC7582,23.306528,-42.3706,10.76,G,6.95
NGC7590,23.315225,-42.2391,11.49,G,3.03
NGC7599,23.322539,-42.2568,11.35,G,4.81
NGC7606,23.317994,-8.4851,10.99,G,5.26
NGC7619,23.337369,8.2062,11.06,G,2.53
NGC7626,23.345153,8.2170,11.12,G,2.50
NGC7635,23.346000,61.2124,10.40,N,15.00
NGC7640,23.368494,40.8454,11.01,G,8.09
NGC7662,23.431639,42.5349,8.30,PN,0.28
NGC7686,23.502050,49.1341,5.60,OC,3.60
NGC7689,23.554647,-54.0945,10.84,G,3.10
NGC7713,23.604164,-37.9381,10.89,G,4.91
NGC7723,23.649189,-12.9611,11.21,G,3.29
NGC7727,23.664922,-12.2928,10.64,G,3.61
NGC7741,23.731769,26.0756,11.22,G,3.63
NGC7788,23.945994,61.3999,9.40,OC,2.40
NGC7789,23.956683,56.7083,6.70,OC,14.40
NGC7790,23.973406,61.2083,8.50,OC,3.60
NGC7793,23.963842,-32.5910,9.10,G,10.42
NGC7796,23.983269,-55.4583,11.47,G,2.73
NGC7814,0.054136,16.1454,10.60,G,4.37
IC10,0.338150,59.3038,10.35,G,6.76
IC127,1.496558,-6.9801,9.20,G,1.69
IC142,1.565425,30.7578,10.70,N,0.50
IC143,1.569703,30.7764,10.80,N,0.30
IC239,2.607744,38.9699,11.20,G,4.25
IC334,3.754744,76.6383,11.50,G,2.34
IC341,3.682136,21.9602,99.00,N,134.90
IC342,3.780139,68.0964,9.08,G,19.77
IC353,3.883631,25.8480,99.00,N,181.97
IC354,3.899419,23.1470,99.00,N,128.82
IC356,4.129697,69.8124,10.24,G,4.02
IC360,4.150714,26.1312,99.00,N,180.00
IC405,5.274856,34.3562,9.40,N,50.00
IC410,5.378333,33.3667,99.00,N,40.00
IC418,5.457831,-12.6973,9.44,PN,0.20
IC434,5.683578,-2.4538,10.40,N,90.00
IC443,6.277058,22.5317,11.40,SNR,50.00
IC444,6.309444,23.3133,6.43,N,8.00
IC447,6.516756,9.8974,7.10,N,25.00
IC1029,14.540906,49.9046,11.29,G,2.78
IC1266,17.759806,-46.0899,10.99,PN,0.16
IC1284,18.294342,-19.6720,7.10,N,16.98
IC1287,18.523803,-10.7958,5.50,N,20.00
IC1297,19.289833,-39.6131,10.00,PN,0.12
IC1442,22.267036,53.9913,8.93,OC,4.20
IC1459,22.952947,-36.4622,10.34,G,4.61
IC1470,23.086169,60.2441,10.90,N,1.80
IC1613,1.079942,2.1178,9.41,G,18.32
IC1633,1.165439,-45.9312,11.39,G,2.90
IC1727,1.791636,27.3334,11.48,G,6.52
IC1805,2.544864,61.4569,6.43,OC,60.00
IC1831,2.732333,62.4116,99.00,N,120.23
IC1848,2.852942,60.4025,6.27,OC,40.00
IC2003,3.939453,33.8749,11.40,PN,0.14
IC2006,3.907903,-35.9671,11.34,G,2.36
IC2051,3.866897,-83.8307,11.23,G,2.86
IC2067,4.514175,35.4462,11.49,N,0.00
IC2105,4.824072,-69.2009,9.30,OC,0.65
IC2128,5.378936,-68.0611,11.10,OC,4.80
IC2149,5.939969,46.1048,10.57,PN,0.14
IC2157,6.079883,24.0710,8.31,OC,2.70
IC2163,6.274439,-21.3759,11.11,G,3.37
IC2165,6.361861,-12.9872,10.50,PN,0.15
IC2391,8.675522,-53.0355,2.50,OC,29.10
IC2395,8.708364,-48.1506,4.60,OC,6.00
IC2448,9.118406,-69.9418,10.40,PN,0.15
IC2469,9.383628,-32.4497,11.09,G,5.79
IC2488,9.460619,-57.0069,7.40,OC,7.20
IC2501,9.646439,-60.0919,10.40,PN,0.03
IC2553,10.155797,-62.6137,10.30,PN,0.15
IC2574,10.473189,68.4121,10.22,G,12.91
IC2581,10.458097,-57.6173,4.19,OC,6.00
IC2621,11.005553,-65.2494,10.70,PN,0.08
IC2714,11.290931,-62.7251,8.20,OC,7.20
IC2944,11.596369,-63.0198,3.90,OC,7.20
IC3370,12.460369,-39.3378,11.18,G,3.12
IC3568,12.551883,82.5639,10.60,PN,0.38
IC3896,12.945342,-50.3469,11.31,G,3.05
IC4191,13.146453,-67.6438,10.60,PN,0.08
IC4214,13.295192,-32.1017,11.40,G,2.96
IC4291,13.615669,-62.0931,9.70,OC,5.10
IC4296,13.610842,-33.9658,10.51,G,4.62
IC4329,13.818142,-30.2959,10.97,G,4.74
IC4402,14.353636,-46.2979,11.44,G,5.78
IC4406,14.374022,-44.1502,10.00,PN,0.58
IC4499,15.005347,-82.2135,8.56,GC,5.10
IC4544,15.489719,-50.5834,6.40,Other,0.00
IC4592,16.199631,-19.4547,3.30,N,60.00
IC4593,16.195694,12.0714,10.33,PN,0.66
IC4604,16.425325,-23.4366,4.50,N,60.00
IC4605,16.503467,-25.1152,4.10,N,30.00
IC4628,16.949564,-40.4510,99.00,N,89.13
IC4634,17.025997,-21.8260,10.10,PN,0.14
IC4651,17.413650,-49.9382,6.90,OC,9.60
IC4662,17.785797,-64.6418,11.10,G,2.09
IC4665,17.774217,5.6487,3.89,OC,24.60
IC4678,18.109297,-23.9544,9.80,N,0.00
IC4699,18.309108,-45.9831,11.30,PN,0.08
IC4701,18.276594,-16.6483,99.00,N,60.00
IC4703,18.315617,-13.8454,5.98,N,5.05
IC4756,18.647642,5.4622,4.36,OC,24.00
IC4765,18.788314,-63.3313,11.19,G,3.79
IC4776,18.764083,-33.3431,10.80,PN,0.12
IC4797,18.941578,-54.3058,11.32,G,2.62
IC4816,19.030700,-13.1618,3.90,Other,0.00
IC4889,19.754208,-54.3441,11.22,G,2.99
IC4901,19.906536,-58.7136,11.37,G,3.68
IC4996,20.275908,37.5553,7.27,OC,6.00
IC4997,20.335778,16.7317,10.50,PN,0.03
IC5052,20.868214,-69.2016,11.09,G,7.16
IC5068,20.841600,42.4777,99.00,N,40.00
IC5070,20.850200,44.4015,7.40,N,60.00
IC5117,21.541936,44.5966,11.50,PN,0.02
IC5146,21.891322,47.2669,7.20,OC,10.00
IC5148,21.993111,-39.3858,11.00,PN,2.30
IC5152,22.044864,-51.2964,9.80,G,5.13
IC5181,22.222694,-46.0176,11.48,G,2.65
IC5201,22.349289,-46.0359,10.78,G,6.70
IC5217,22.398806,50.9667,11.30,PN,0.11
IC5250A,22.788194,-65.0597,11.11,G,1.51
IC5267,22.953769,-43.3961,10.43,G,5.58
IC5273,22.990750,-37.7029,11.45,G,3.07
IC5325,23.478731,-41.3335,11.27,G,2.88
IC5328,23.554572,-45.0160,11.37,G,2.99
IC5332,23.574303,-36.1011,10.03,G,6.07
